ID,Season,team,score,Oscore,fgm,fga,fgm3,fga3,ftm,fta,or,dr,ast,to,stl,blk,pf,Ofgm,Ofga,Ofgm3,Ofga3,Oftm,Ofta,Oor,Odr,Oast,Oto,Ostl,Oblk,Opf,Margin,Win,fgp,fgp3,ftp,atr,Ofgp,Ofgp3,Oftp,Oatr,Num.T.W.p,Num.H.W.p,Num.A.W.p,Num.N.W.p,SeedNum.ThisYr,SeedNum.LastYr,Num.TR.W.ThisYr,Num.TR.G.ThisYr,Num.TR.W.LastYr,Num.TR.G.LastYr,Win.first,Rb.Margin,St.Margin,Tur.Margin,Pf.Margin,blk.Margin,Conference,Team_Name,Rank,Pyth,Adjust.O,Adjust.O.Rank,Adjust.D,Adjust.D.Rank,Adjust.T,Adjust.T.Rank,Luck,Luck.Rank,SOS.Pyth,SOS.Pyth.Rank,SOS.Opp.O,SOS.OppO.Rank,SOS.OppD,SOS.OppD.Rank,NCSOS.Pyth,NCSOS.Pyth.Rank
2003_1102,2003,1102,-2.16985424,-2.487903674,-2.515243649,-4.15584943,1.250261456,0.886153362,-1.406490481,-1.20035398,-4.230651799,-3.430689,-0.299301474,-1.965372865,-0.833126346,-1.247941699,-0.241758675,-2.551188416,-3.807918012,-1.73125473,-2.534644295,-0.316450267,-0.476999324,-1.60574801,-1.537602646,-2.4976877,-1.107087208,-1.414706548,-2.461777127,-0.48819942,0.067260724,0.428571429,0.481149013,0.375643225,0.651356994,1.204233529,0.454545455,0.382183908,0.710575139,-1.395681866,0.428571429,0.473684211,0.428571429,0,20,20,0,0,0,0,0,-2.408747462,0.332089105,-0.694655549,0.192157882,0.180329693,MWC,Air Force,171,0.4667,102.9,127,104.1,219,54.7,327,-0.074,300,0.5258,137,102.7,117,101.8,170,0.3512,289
2003_1103,2003,1103,1.588021573,1.601373395,1.20828066,-0.06150114,-0.646884912,-0.632473632,2.083084643,1.786056384,-1.093252841,-1.734640877,0.904339661,-1.291090302,0.155965664,-0.779579413,0.409186163,1.514975965,0.246445675,0.454416461,0.143766551,0.71107031,0.489130914,0.216033121,-0.570667656,1.050636197,0.247721597,-0.57464821,-0.601248828,2.082116517,0.125824683,0.481481481,0.486074271,0.338709677,0.736389685,1.585050294,0.487329435,0.362903226,0.719063545,0.540118713,0.481481481,0.5,0.444444444,0,20,20,0,0,0,0,0,-1.192828963,0.520356785,-1.213116145,-1.370537109,-0.381790738,MAC,Akron,169,0.4707,108.8,41,110,299,68.4,166,-0.025,229,0.4515,189,101.3,166,103.1,243,0.3372,294
2003_1104,2003,1104,-0.068907265,-0.940996762,-0.239414763,0.276604519,0.081568618,0.577688865,0.235387359,0.104704187,1.032440571,0.452083291,-0.782907287,-0.922759739,-0.342116421,0.462598823,-0.663739722,-0.653011679,-0.170915293,0.101450927,0.491983811,-1.018599407,-1.179439063,-0.641800672,-0.261410515,-1.078210047,-0.596480875,-1.322754216,-0.126506586,0.073277362,0.689834374,0.607142857,0.420362274,0.320143885,0.709897611,-0.066734699,0.418918919,0.332089552,0.708333333,-0.521030435,0.607142857,0.619047619,0.333333333,0.75,10,2,0,1,1,2,0,1.121125268,0.651120111,-0.266617299,-0.649080228,0.481683065,SEC,Alabama,51,0.7847,108.3,51,96.8,68,66.7,247,-0.016,204,0.7087,21,104.9,46,97.1,13,0.5474,117
2003_1105,2003,1105,0.364613864,1.312430134,-0.077129379,1.407296847,1.055113872,0.869455853,0.485555136,0.418068262,0.992417055,0.0078233,0.533988542,2.090947435,1.720544932,-0.99887948,0.633040496,1.142560909,0.792225402,0.001200361,-0.231236653,0.920789274,1.273147145,1.082182067,1.648670454,1.233247062,2.234634857,1.980456463,1.346510217,-0.035562752,-0.724836043,0.269230769,0.395755306,0.364814815,0.705985915,-0.807870076,0.457925636,0.35745614,0.668759812,-0.535609349,0.269230769,0.294117647,0.222222222,0,20,20,0,0,0,0,0,-0.801694341,-0.032751482,-0.081256005,0.590487722,-1.606716875,SWAC,Alabama A&M,311,0.1152,89.5,308,106.9,270,74,12,-0.088,309,0.2122,322,93.4,327,104.7,296,0.3121,305
2003_1106,2003,1106,-1.060155245,-1.182700967,-0.521816887,-0.205777533,-0.117964305,-0.130637016,-1.627512498,-1.419896476,0.312017281,0.413060454,-1.015038078,1.182516767,0.994521709,-0.087217773,-0.579343513,-1.388341406,-0.757208081,-1.690527938,-1.278915612,0.532660321,0.427838306,-0.320484893,-0.407261045,-1.018232118,0.097943739,1.466466507,-0.126506586,-1.88066184,0.00665621,0.464285714,0.42377261,0.346153846,0.646420824,-1.335152413,0.406688963,0.314553991,0.707317073,-0.907602034,0.464285714,0.470588235,0.555555556,0,20,20,0,0,0,0,0,0.704679609,-0.242166707,0.858964766,1.052090172,-0.011440634,SWAC,Alabama St.,259,0.243,89.3,311,98.6,106,65.7,274,-0.025,230,0.2671,310,96.2,309,105.1,304,0.5509,114
2003_1107,2003,1107,-0.654928083,1.130753567,-0.239414763,0.349416904,1.335775566,1.320288579,-1.943258236,-2.42003451,-1.94931138,-1.557592819,-0.87962845,-1.323764787,-0.151168117,-1.034124133,-1.929682864,2.014696167,0.991733117,0.345811682,0.089506669,-1.312522303,-1.393742712,1.232541374,1.999272688,2.880333265,0.036670979,-1.322754216,0.392442423,-2.015416267,-1.480909148,0.25,0.418272219,0.357487923,0.733509235,0.144372485,0.482944345,0.360078278,0.696969697,2.087355893,0.25,0.3125,0.181818182,0,20,20,0,0,0,0,0,-3.301131017,0.800001248,-1.075133993,-0.032172281,-1.134666838,AE,Albany,310,0.117,94.6,268,112.8,316,67.6,203,0.05,56,0.3718,259,98.5,258,103.1,240,0.3736,272
2003_1108,2003,1108,-0.102912342,0.629348134,0.180916385,0.671280743,-0.832309447,-0.549539418,-0.143507527,0.108400189,0.780171136,0.06067241,0.160270595,1.979058613,0.860609911,0.231194532,0.299783669,0.547664133,0.777632361,-0.858714057,-0.323703196,0.786502822,0.864021997,0.619931744,0.292158539,1.035557571,1.044886394,1.28627709,-0.562109239,-0.083936137,-0.593044662,0.424242424,0.424664603,0.319109462,0.668596237,-0.970644443,0.437242798,0.318181818,0.69140625,-0.005142362,0.424242424,0.368421053,0.625,0.333333333,20,20,0,0,0,0,0,0.028931927,-0.221542481,0.753756712,0.335479931,0.504097778,SWAC,Alcorn St.,279,0.2095,92.2,291,103.5,206,71.8,46,0.027,93,0.3173,288,96.6,301,103.3,255,0.6095,60
2003_1110,2003,1110,-0.578454444,-1.54042319,-0.643637412,-0.652360162,2.004685939,1.625706513,-1.35176122,-1.396315985,-0.968735235,0.017629038,0.368719356,-0.989593913,-0.50033073,-1.292741569,-0.606068979,-0.916362325,-0.84796753,-0.001723613,0.307380962,-1.891659268,-1.382630671,-0.561471727,-0.011033774,-0.82363706,-0.190719042,-1.010116289,-0.192240127,-1.299720529,0.717749181,0.533333333,0.432752179,0.378962536,0.681451613,0.886857113,0.427763819,0.334519573,0.618951613,-0.583547549,0.533333333,0.458333333,0.75,1,20,20,0,0,0,0,0,-0.257111556,0.310820371,-0.634413129,0.544854749,-1.057958707,Pat,American,132,0.5618,102.5,131,100.4,144,64.6,294,-0.099,315,0.3722,256,97.7,277,102.3,203,0.4634,185
2003_1111,2003,1111,2.372046879,2.29412106,1.890740629,2.142421889,0.748140143,1.250862097,1.998705867,1.902325645,0.712252442,1.205524223,0.90896905,0.709022344,2.131818203,1.172191183,-0.275841759,2.523770593,2.654297412,1.755585264,2.005297864,-0.099148297,-0.521874874,1.13985413,1.766472805,1.685388373,2.168648808,1.584354111,0.899415686,1.22214524,0.26602658,0.615384615,0.443649374,0.327495622,0.719530103,0.098041668,0.455184534,0.347008547,0.740442656,-0.227854632,0.615384615,0.5625,0.75,0.5,20,20,0,0,0,0,0,-0.417282964,0.562773063,-1.122693799,-1.261674134,0.576514545,SC,Appalachian St.,176,0.4541,102.1,143,103.8,213,77.5,1,0.081,20,0.4333,210,100.3,197,102.7,223,0.6224,53
2003_1112,2003,1112,2.711574489,0.074160899,2.684277821,2.451874527,0.623157982,0.646236531,1.419433878,1.495139991,1.932969683,2.481270821,2.215448754,-0.080649137,1.076356697,0.829143221,-0.832532141,0.834748466,2.382936343,0.060724135,0.862262781,-1.443154701,-0.98894693,1.018330854,0.066753175,1.04101011,1.119156406,-0.95494489,-1.268194406,1.847543994,2.33717527,0.892857143,0.461413043,0.350533808,0.701428571,1.517392518,0.407509663,0.316636852,0.633064516,-0.046730071,0.892857143,0.933333333,0.916666667,0,1,3,3,4,2,3,1,1.805285994,1.501869462,-0.932454577,-2.275473907,1.413138941,P10,Arizona,4,0.9391,114.8,7,90.5,11,74.1,10,-0.006,180,0.7136,19,106.1,8,98,39,0.7035,23
2003_1113,2003,1113,1.097115082,-0.134204795,1.235606476,0.204733673,-1.799741803,-1.74820435,1.426510938,1.907307894,1.098686391,0.114333908,1.082810587,-0.52175469,-1.411615052,0.852315568,0.150392678,0.085856122,-0.12774002,-0.93497572,-0.971367562,-0.106424902,-0.054550176,-0.561471727,-1.32888551,0.25991823,0.352894763,-0.924294113,0.966865292,2.344741366,1.076639364,0.620689655,0.478181818,0.317808219,0.669736842,1.054428848,0.445477076,0.342733189,0.68907563,-0.114808955,0.620689655,0.666666667,0.571428571,0.5,10,20,1,2,0,0,1,1.533126105,-0.459254473,-0.686455582,-1.818433432,0.254014844,P10,Arizona St.,30,0.8323,112.3,17,97.7,84,68.6,156,-0.014,200,0.7041,25,105.1,38,97.4,18,0.6132,59
