"","SampleSubmission$Id","season","team1","team2"
"1","2012_1104_1124",2012,1104,1124
"2","2012_1104_1125",2012,1104,1125
"3","2012_1104_1140",2012,1104,1140
"4","2012_1104_1143",2012,1104,1143
"5","2012_1104_1153",2012,1104,1153
"6","2012_1104_1160",2012,1104,1160
"7","2012_1104_1161",2012,1104,1161
"8","2012_1104_1163",2012,1104,1163
"9","2012_1104_1166",2012,1104,1166
"10","2012_1104_1172",2012,1104,1172
"11","2012_1104_1178",2012,1104,1178
"12","2012_1104_1181",2012,1104,1181
"13","2012_1104_1196",2012,1104,1196
"14","2012_1104_1199",2012,1104,1199
"15","2012_1104_1207",2012,1104,1207
"16","2012_1104_1211",2012,1104,1211
"17","2012_1104_1217",2012,1104,1217
"18","2012_1104_1231",2012,1104,1231
"19","2012_1104_1233",2012,1104,1233
"20","2012_1104_1235",2012,1104,1235
"21","2012_1104_1242",2012,1104,1242
"22","2012_1104_1243",2012,1104,1243
"23","2012_1104_1246",2012,1104,1246
"24","2012_1104_1249",2012,1104,1249
"25","2012_1104_1250",2012,1104,1250
"26","2012_1104_1253",2012,1104,1253
"27","2012_1104_1254",2012,1104,1254
"28","2012_1104_1257",2012,1104,1257
"29","2012_1104_1259",2012,1104,1259
"30","2012_1104_1266",2012,1104,1266
"31","2012_1104_1272",2012,1104,1272
"32","2012_1104_1276",2012,1104,1276
"33","2012_1104_1277",2012,1104,1277
"34","2012_1104_1281",2012,1104,1281
"35","2012_1104_1285",2012,1104,1285
"36","2012_1104_1290",2012,1104,1290
"37","2012_1104_1293",2012,1104,1293
"38","2012_1104_1301",2012,1104,1301
"39","2012_1104_1307",2012,1104,1307
"40","2012_1104_1308",2012,1104,1308
"41","2012_1104_1313",2012,1104,1313
"42","2012_1104_1314",2012,1104,1314
"43","2012_1104_1323",2012,1104,1323
"44","2012_1104_1325",2012,1104,1325
"45","2012_1104_1326",2012,1104,1326
"46","2012_1104_1345",2012,1104,1345
"47","2012_1104_1355",2012,1104,1355
"48","2012_1104_1361",2012,1104,1361
"49","2012_1104_1378",2012,1104,1378
"50","2012_1104_1379",2012,1104,1379
"51","2012_1104_1382",2012,1104,1382
"52","2012_1104_1387",2012,1104,1387
"53","2012_1104_1388",2012,1104,1388
"54","2012_1104_1393",2012,1104,1393
"55","2012_1104_1396",2012,1104,1396
"56","2012_1104_1400",2012,1104,1400
"57","2012_1104_1421",2012,1104,1421
"58","2012_1104_1424",2012,1104,1424
"59","2012_1104_1433",2012,1104,1433
"60","2012_1104_1435",2012,1104,1435
"61","2012_1104_1436",2012,1104,1436
"62","2012_1104_1438",2012,1104,1438
"63","2012_1104_1443",2012,1104,1443
"64","2012_1104_1452",2012,1104,1452
"65","2012_1104_1455",2012,1104,1455
"66","2012_1104_1458",2012,1104,1458
"67","2012_1104_1462",2012,1104,1462
"68","2012_1124_1125",2012,1124,1125
"69","2012_1124_1140",2012,1124,1140
"70","2012_1124_1143",2012,1124,1143
"71","2012_1124_1153",2012,1124,1153
"72","2012_1124_1160",2012,1124,1160
"73","2012_1124_1161",2012,1124,1161
"74","2012_1124_1163",2012,1124,1163
"75","2012_1124_1166",2012,1124,1166
"76","2012_1124_1172",2012,1124,1172
"77","2012_1124_1178",2012,1124,1178
"78","2012_1124_1181",2012,1124,1181
"79","2012_1124_1196",2012,1124,1196
"80","2012_1124_1199",2012,1124,1199
"81","2012_1124_1207",2012,1124,1207
"82","2012_1124_1211",2012,1124,1211
"83","2012_1124_1217",2012,1124,1217
"84","2012_1124_1231",2012,1124,1231
"85","2012_1124_1233",2012,1124,1233
"86","2012_1124_1235",2012,1124,1235
"87","2012_1124_1242",2012,1124,1242
"88","2012_1124_1243",2012,1124,1243
"89","2012_1124_1246",2012,1124,1246
"90","2012_1124_1249",2012,1124,1249
"91","2012_1124_1250",2012,1124,1250
"92","2012_1124_1253",2012,1124,1253
"93","2012_1124_1254",2012,1124,1254
"94","2012_1124_1257",2012,1124,1257
"95","2012_1124_1259",2012,1124,1259
"96","2012_1124_1266",2012,1124,1266
"97","2012_1124_1272",2012,1124,1272
"98","2012_1124_1276",2012,1124,1276
"99","2012_1124_1277",2012,1124,1277
"100","2012_1124_1281",2012,1124,1281
"101","2012_1124_1285",2012,1124,1285
"102","2012_1124_1290",2012,1124,1290
"103","2012_1124_1293",2012,1124,1293
"104","2012_1124_1301",2012,1124,1301
"105","2012_1124_1307",2012,1124,1307
"106","2012_1124_1308",2012,1124,1308
"107","2012_1124_1313",2012,1124,1313
"108","2012_1124_1314",2012,1124,1314
"109","2012_1124_1323",2012,1124,1323
"110","2012_1124_1325",2012,1124,1325
"111","2012_1124_1326",2012,1124,1326
"112","2012_1124_1345",2012,1124,1345
"113","2012_1124_1355",2012,1124,1355
"114","2012_1124_1361",2012,1124,1361
"115","2012_1124_1378",2012,1124,1378
"116","2012_1124_1379",2012,1124,1379
"117","2012_1124_1382",2012,1124,1382
"118","2012_1124_1387",2012,1124,1387
"119","2012_1124_1388",2012,1124,1388
"120","2012_1124_1393",2012,1124,1393
"121","2012_1124_1396",2012,1124,1396
"122","2012_1124_1400",2012,1124,1400
"123","2012_1124_1421",2012,1124,1421
"124","2012_1124_1424",2012,1124,1424
"125","2012_1124_1433",2012,1124,1433
"126","2012_1124_1435",2012,1124,1435
"127","2012_1124_1436",2012,1124,1436
"128","2012_1124_1438",2012,1124,1438
"129","2012_1124_1443",2012,1124,1443
"130","2012_1124_1452",2012,1124,1452
"131","2012_1124_1455",2012,1124,1455
"132","2012_1124_1458",2012,1124,1458
"133","2012_1124_1462",2012,1124,1462
"134","2012_1125_1140",2012,1125,1140
"135","2012_1125_1143",2012,1125,1143
"136","2012_1125_1153",2012,1125,1153
"137","2012_1125_1160",2012,1125,1160
"138","2012_1125_1161",2012,1125,1161
"139","2012_1125_1163",2012,1125,1163
"140","2012_1125_1166",2012,1125,1166
"141","2012_1125_1172",2012,1125,1172
"142","2012_1125_1178",2012,1125,1178
"143","2012_1125_1181",2012,1125,1181
"144","2012_1125_1196",2012,1125,1196
"145","2012_1125_1199",2012,1125,1199
"146","2012_1125_1207",2012,1125,1207
"147","2012_1125_1211",2012,1125,1211
"148","2012_1125_1217",2012,1125,1217
"149","2012_1125_1231",2012,1125,1231
"150","2012_1125_1233",2012,1125,1233
"151","2012_1125_1235",2012,1125,1235
"152","2012_1125_1242",2012,1125,1242
"153","2012_1125_1243",2012,1125,1243
"154","2012_1125_1246",2012,1125,1246
"155","2012_1125_1249",2012,1125,1249
"156","2012_1125_1250",2012,1125,1250
"157","2012_1125_1253",2012,1125,1253
"158","2012_1125_1254",2012,1125,1254
"159","2012_1125_1257",2012,1125,1257
